model,premium,mileage,condition,price
1,0,116235,2,55926
1,1,63917,2,57113
2,0,148908,2,68009
0,0,60578,1,16770
2,1,161468,1,35438
0,1,182157,0,7530
1,0,148226,3,43872
0,0,989,1,24328
0,1,13657,2,30500
1,1,188257,2,43276
0,1,151633,2,16385
1,1,178331,3,43837
2,0,33804,3,73766
2,1,48896,3,72600
0,0,7941,2,29652
0,0,158687,0,10523
2,0,72882,2,68031
1,0,2847,2,67928
0,1,44356,3,28550
1,1,158816,0,21455
2,1,126830,1,37410
2,1,133562,0,29376
0,0,81295,3,19576
0,1,21141,0,15981
1,0,169250,3,36126
1,0,119202,1,31285
2,0,16602,2,80592
1,1,18316,2,57692
0,0,54600,1,10331
1,1,124957,1,25736
1,1,119786,0,19208
0,0,188213,0,7435
1,1,92333,1,31037
2,0,163169,1,28445
1,1,33360,3,70078
2,1,59642,1,36534
2,0,35942,2,82536
1,1,144282,0,17974
2,1,155747,1,35835
0,0,129747,3,20226
2,1,140100,0,30664
0,0,84319,1,17372
0,1,132234,2,24261
2,0,50625,3,56200
0,0,9575,3,24947
2,1,94330,3,64112
2,1,94629,3,57729
1,1,138470,1,28402
2,1,126578,2,56727
0,1,190545,2,27574
0,0,152095,1,12540
2,1,23123,2,84294
1,0,145513,0,18875
0,1,133844,3,16131
1,1,18695,0,32837
0,0,137966,2,20268
1,0,61513,0,21281
2,0,54988,0,31202
1,1,109351,3,55451
2,1,73784,2,87954
2,0,123617,3,54575
2,0,152929,0,19285
0,1,2094,1,24642
1,0,31951,3,53462
2,1,154543,1,37562
0,0,119980,0,10992
0,0,71224,2,34561
0,0,126956,1,11138
2,1,32027,0,36327
0,1,159196,1,12592
1,1,176639,3,37681
0,0,36198,2,37211
0,1,195029,2,17098
1,0,21379,1,33311
2,0,175475,3,40003
0,0,198636,3,14173
1,0,151928,1,28608
1,0,148799,2,56459
0,1,115084,0,11462
0,0,63770,2,20374
2,1,31634,0,36385
0,0,75620,1,16830
2,0,106196,1,41947
2,0,122720,0,21559
1,0,96462,0,22005
0,0,2443,1,21522
1,0,197816,0,17721
1,1,133549,0,25652
1,0,37383,1,32986
1,1,150650,1,24280
1,1,158950,0,17086
0,1,7883,0,14734
0,0,197331,0,6320
1,1,177079,1,32843
0,0,115299,0,9946
2,1,75389,2,82689
0,0,61437,1,16333
1,0,140579,1,33028
2,1,102839,1,37104
1,0,110923,0,17640
1,0,171380,3,42760
0,0,146969,1,15217
1,0,124093,2,62027
1,1,26056,2,68971
2,0,5876,1,55911
0,1,17958,1,20274
0,1,124854,0,9381
2,1,47701,1,46089
2,1,126071,3,61666
1,0,54134,0,19869
1,1,160411,1,30845
2,0,14902,3,69365
0,1,85227,3,18327
1,1,114381,2,47415
2,0,109576,0,25569
1,1,99773,1,29397
0,0,10669,0,12111
0,1,103238,2,24930
2,1,43549,1,55117
2,0,79858,1,35736
0,0,51358,0,7289
0,0,194070,2,19992
0,1,9913,2,41665
1,0,82158,2,62960
0,0,117202,3,18032
0,0,115411,2,27892
2,0,95839,1,40032
0,1,130805,3,27927
1,1,167191,2,51537
2,1,78926,0,27210
2,0,80895,3,55638
2,1,9187,3,82996
0,1,130740,3,24025
1,0,124555,2,61858
2,1,40790,3,74479
0,0,182357,3,18668
0,0,180805,0,8730
0,1,81223,2,38113
1,0,120997,1,31239
0,1,83687,3,20677
1,0,124250,3,39004
1,1,64346,2,69670
0,1,120596,3,16036
2,0,185183,3,50572
1,1,126417,0,21618
0,0,41733,1,14831
0,1,158948,3,17846
2,0,26694,1,47002
2,1,81645,3,70399
1,0,89542,2,66589
0,1,31071,2,34669
1,0,177719,1,29923
2,1,143603,0,22509
0,1,151775,1,16338
2,0,37737,3,64395
1,0,158169,2,37955
1,0,154281,2,54561
1,1,59026,0,26153
0,0,179144,0,7271
2,1,192661,1,31655
0,0,48793,2,20731
0,1,81617,1,13821
2,0,109704,1,40794
1,1,130742,0,19520
0,1,163934,1,11953
1,0,155088,3,44699
1,1,38020,3,68562
0,1,4012,1,20615
0,0,169559,2,28004
2,0,30017,0,32074
2,0,46253,2,80667
1,0,199429,1,28823
2,0,122587,1,39770
2,0,191660,0,25350
1,1,85561,2,58076
0,1,99723,0,8113
1,0,66528,0,24761
1,1,38957,1,45693
2,0,189398,3,51903
1,0,198672,0,16648
2,1,16121,0,32135
1,0,16038,0,28565
1,0,163694,3,42029
2,1,24299,2,85424
1,0,136378,2,57406
1,1,113401,0,19683
2,0,95949,1,45189
1,0,73157,2,66673
1,1,95093,3,58832
0,1,40292,3,29944
0,1,12836,0,14576
2,0,104232,2,64691
0,0,30759,2,20826
1,1,9397,2,68752
0,0,116803,1,15058
1,0,153148,0,15513
1,0,101528,0,19406
0,1,164532,1,9219
0,0,106078,1,15398
2,0,174255,1,32842
0,0,178482,0,7500
1,0,56174,3,50212
2,1,71605,0,27138
0,1,157304,1,10755
2,0,178007,3,46785
2,0,26335,2,75524
2,1,41351,3,61478
0,1,169705,3,14401
0,1,23020,1,16571
2,1,45148,1,49855
2,0,118210,2,67239
1,0,44350,3,50819
1,1,75201,1,38799
2,1,27235,2,96427
2,0,145101,2,68685
0,1,43939,2,31358
1,0,5614,3,69143
0,1,114067,1,16044
0,0,194313,2,14514
1,0,181645,0,16336
2,1,159913,0,20279
2,1,183038,1,34147
2,0,128315,0,26659
1,0,99654,2,63252
2,0,46242,1,47897
1,1,109106,2,46229
2,0,82713,2,69739
1,1,1796,0,29877
1,1,188287,0,16659
1,0,44475,2,74801
2,1,117569,0,25302
2,0,172144,1,35526
0,1,149797,3,15370
1,0,102972,1,34369
2,0,127683,1,39623
2,1,132739,0,22076
2,0,13710,3,64440
1,0,24643,0,23648
0,0,124642,2,25812
2,1,39658,2,90156
0,0,33293,2,30285
1,1,38959,3,69943
2,1,51300,2,76576
2,1,125862,0,22912
1,0,13048,0,23034
0,0,4349,2,25273
2,0,31239,0,28739
2,1,87562,2,73687
1,1,102270,0,18373
1,0,136711,1,31230
0,1,8314,2,36568
1,0,102744,1,35241
0,1,184916,1,10921
1,0,92331,3,55966
1,1,45536,0,32880
2,0,62142,1,42518
0,0,133135,3,13995
0,0,67851,3,28192
1,0,124018,1,35153
0,1,15542,1,20166
0,0,46939,3,25145
2,1,183667,3,44916
1,1,112215,2,48001
1,1,144619,2,57282
2,1,173986,1,29999
0,1,116039,3,25199
1,0,69129,2,64727
2,0,161941,3,48294
0,1,165465,3,13650
2,0,98311,0,23752
0,1,36366,1,19739
1,0,101624,2,50103
1,1,72085,0,24141
0,1,38821,2,30378
0,0,101787,2,26555
0,1,196600,2,22103
2,1,28008,0,32734
0,1,27805,0,15023
0,1,62172,3,18556
1,0,107928,3,37748
0,1,129427,1,12776
0,1,60063,3,31034
2,1,176963,3,45978
0,1,73988,0,10925
2,0,153735,0,23553
0,0,69276,2,22660
2,0,73298,3,68791
2,1,139957,3,64066
1,0,116980,2,47167
2,1,102311,1,39652
1,1,149887,2,47183
2,0,12841,3,60978
0,0,128044,2,23615
1,0,145559,1,26484
0,0,146963,2,26852
0,0,88404,2,34881
1,0,140442,3,53226
2,0,129871,2,58146
0,0,63816,1,12612
1,1,194287,0,19648
1,0,35312,3,45167
0,0,67705,0,11353
0,0,144786,1,17136
0,1,172752,3,13282
2,1,41396,2,82646
1,1,156991,3,45883
0,0,195007,3,23554
1,0,92146,2,68244
0,1,41314,1,13502
1,1,139151,2,68017
1,0,182770,0,20998
1,0,14766,2,54030
0,0,15086,1,18944
0,0,34394,1,16623
1,0,179086,0,18005
1,0,73183,1,32462
1,0,103782,3,46384
0,1,11973,2,39741
0,1,150657,0,8429
2,0,76333,1,37322
1,1,193648,3,38863
2,1,85779,2,65110
2,0,32404,3,69968
1,1,58025,2,61846
1,0,67492,0,18932
2,0,21460,1,39190
2,0,197334,0,20941
2,1,445,2,93371
2,0,41987,3,72308
1,0,157625,2,46660
0,0,176449,2,24719
0,0,198165,1,11131
0,0,88512,0,8867
2,1,39789,3,81674
0,0,125367,1,17086
2,1,42843,0,31046
0,1,123702,3,15585
2,0,103283,1,37232
0,1,82381,2,30372
1,1,125650,3,39234
2,1,109619,1,36168
2,1,101969,1,33606
2,0,56309,3,66028
2,0,57447,2,76652
1,0,18325,0,23149
2,1,94848,1,35783
2,0,79641,1,46437
0,1,66215,1,17028
0,1,64338,1,17325
2,1,52910,1,45119
2,1,85127,3,56396
1,1,5425,0,29655
1,1,163406,2,50509
2,1,89282,0,32259
0,1,69772,1,12591
0,0,73215,2,35513
0,0,119916,0,12564
1,0,27024,0,21506
1,0,62726,3,43551
1,1,187318,0,17771
2,1,137901,1,38751
0,1,79852,1,12867
2,0,53103,0,29070
1,1,176180,1,32197
2,0,12076,1,51562
0,1,149181,1,18519
1,1,96187,0,27736
0,0,125303,0,9873
2,0,30377,3,56841
2,0,135581,3,55385
2,1,81367,2,83535
0,1,25196,1,18116
0,1,187695,1,11542
1,0,72995,1,31952
2,0,39936,3,74277
2,1,71415,1,41791
2,0,118139,1,38115
2,0,109031,1,35811
2,1,58542,0,28876
1,0,119687,1,29255
2,0,43282,2,87132
2,0,160796,1,33406
2,0,76706,0,32790
1,0,128359,1,28009
0,1,158726,3,17936
1,0,72222,2,53865
1,1,159862,3,41011
2,0,164813,2,51793
1,0,173646,1,28217
2,0,189781,0,21986
0,0,68783,3,23071
2,0,123735,2,61979
1,1,184069,2,50179
2,1,88788,0,25116
1,1,110328,3,46199
0,1,89696,3,26155
1,0,34563,2,63054
1,0,130485,3,47166
1,0,16047,0,21768
1,1,172073,1,30594
1,0,136521,2,49446
1,1,161022,3,40334
0,0,152166,3,18702
0,1,85580,2,26954
1,0,121663,3,46413
2,1,29989,0,28147
1,1,150602,0,18763
1,1,1884,0,27070
2,0,32158,0,26422
2,1,137338,3,52170
2,0,25973,2,89807
2,0,167003,2,55037
2,1,59513,2,69544
1,0,152626,2,53260
0,1,108791,1,12488
2,0,193758,2,50983
0,0,199447,1,14757
0,1,181616,1,15923
2,0,152308,2,50676
2,1,166030,1,29772
0,1,153237,0,11187
2,0,47152,1,50228
1,0,108887,1,26336
0,0,84172,1,15377
2,1,91204,2,80020
2,1,24416,0,38250
0,0,141057,1,10846
2,0,96316,1,46935
0,1,34459,0,10052
2,1,192300,0,21622
2,1,158457,2,54142
2,1,58113,3,64340
1,1,82274,1,28367
0,0,42355,1,18614
1,1,178854,3,35634
2,0,96092,3,70835
0,0,78553,1,10910
1,0,67832,1,39747
0,1,33349,3,26314
2,1,132,1,59343
2,0,82982,0,28435
